author_id,author_name,author_url,crowdsourced_gender,notes_for_other_gender,crowdsourced_race,notes_for_other_race,comment_about_where_the_info_was_found
2167840791,katherine l gross,https://academic.microsoft.com/author/2167840791/,female,,White/European,,http://www.kbs.msu.edu/kbs-people/faculty/katherine-gross/
2131585779,rodolfo baggio,https://academic.microsoft.com/author/2131585779/,male,,White/European,,https://www.iby.it/pers/index.htm
213268964,dominic a scudiero,https://academic.microsoft.com/author/213268964/,male,,Not Identified,,Could not find anything beyond content of articles
2096404504,tobias sing,https://academic.microsoft.com/author/2096404504/,male,,White/European,,https://www.linkedin.com/in/tobiassing/
2116743282,christopher kennedy,https://academic.microsoft.com/author/2116743282/,male,,White/European,,https://www.uvic.ca/engineering/civil/people/home/ckennedy.php
2121363698,jonathan harel,https://academic.microsoft.com/author/2121363698/,male,,White/European,,http://www.vision.caltech.edu/~harel/
2129095822,bo pang,https://academic.microsoft.com/author/2129095822/,female,,East Asian,,https://www.youtube.com/watch?v=s-rDBWaqiGM
1968811028,victor herbert,https://academic.microsoft.com/author/1968811028/,male,,White/European,,https://academic.oup.com/ajcn/article/77/4/757/4689742
2980696681,vittorio loreto,https://academic.microsoft.com/author/2980696681/,male,,White/European,,https://www.ted.com/speakers/vittorio_loreto
1230716646,erich barke,https://academic.microsoft.com/author/1230716646/,male,,White/European,,https://en.wikipedia.org/wiki/Erich_Barke
2792022610,e belisle,https://academic.microsoft.com/author/2792022610/,female,,White/European,,https://www.linkedin.com/in/eve-belisle-ab6a8240/?originalSubdomain=ca
2220590586,j w haines,https://academic.microsoft.com/author/2220590586/,male,,White/European,,https://bostonglobalforum.org/2014/10/understanding-the-cyber-threats/
2251874077,paulo cesar sentelhas,https://academic.microsoft.com/author/2251874077/,male,,Hispanic/Latino,,http://www.leb.esalq.usp.br/equipe/paulo-cesar-sentelhas
2954102654,lucia carlucci,https://academic.microsoft.com/author/2954102654/,female,,White/European,,https://www.researchgate.net/profile/Lucia_Carlucci
2195048431,prabhakar raghavan,https://academic.microsoft.com/author/2195048431/,male,,Indian Subcontinet,,https://en.wikipedia.org/wiki/Prabhakar_Raghavan
2088361249,robert h macarthur,https://academic.microsoft.com/author/2088361249/,male,,White/European,,https://en.wikipedia.org/wiki/Robert_H._MacArthur
2722426597,gerhard einsele,https://academic.microsoft.com/author/2722426597/,male,,White/European,,https://de.wikipedia.org/wiki/Gerhard_Einsele
2034569840,oleg sheyner,https://academic.microsoft.com/author/2034569840/,male,,White/European,,https://www.linkedin.com/in/olegsheyner/
1337865506,p erdos,https://academic.microsoft.com/author/1337865506/,male,,White/European,,
1841570681,orit zaslavsky,https://academic.microsoft.com/author/1841570681/,female,,White/European,,http://steinhardt.nyu.edu/faculty/Orit_Zaslavsky
2673306786,hannah e rosenthal,https://academic.microsoft.com/author/2673306786/,female,,Not Identified,,Could not find anything beyond content of articles
2250876773,peter j brockwell,https://academic.microsoft.com/author/2250876773/,male,,White/European,,https://www.linkedin.com/in/peter-brockwell-59b8b95/
2777608881,xianbo xu,https://academic.microsoft.com/author/2777608881/,female,,East Asian,,Could not find anything beyond content of articles
2595094752,thomas kipf,https://academic.microsoft.com/author/2595094752/,male,,White/European,,https://tkipf.github.io
2681246988,m ivanchenko,https://academic.microsoft.com/author/2681246988/,male,,White/European,Russian. Is this white/european?,https://www.researchgate.net/profile/Mikhail_Ivanchenko
